City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
205,Sungairaya,ID,77.49,overcast clouds,0.7,108.9,Mess P.Milu
216,Puerto Ayora,EC,84.2,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
218,Atuona,PF,78.91,few clouds,-9.8,-139.03,Villa Enata
219,Oussouye,SN,73.4,clear sky,12.48,-16.55,Auberge du Routard
220,Hervey Bay,AU,79.0,clear sky,-25.3,152.85,Shelly Bay Resort
225,Florianopolis,BR,77.0,broken clouds,-27.61,-48.5,Hotel Boutique Quinta das Videiras
227,Saint-Pierre,RE,80.6,clear sky,-21.34,55.48,Lindsey Hôtel
230,Rikitea,PF,77.88,light rain,-23.12,-134.97,Pension Maro'i
233,Nhulunbuy,AU,78.8,overcast clouds,-12.23,136.77,East Arnhem Real Estate
237,Port Alfred,ZA,70.0,overcast clouds,-33.59,26.89,The Halyards Hotel
240,Harper,LR,78.89,broken clouds,4.38,-7.72,Screensaver
241,Dhidhdhoo,MV,81.46,few clouds,6.88,73.1,Dhidhoo beach
249,Port Augusta,AU,75.0,clear sky,-32.5,137.77,Majestic Oasis Apartments
256,Atuona,PF,78.91,few clouds,-9.8,-139.03,Villa Enata
265,Geraldton,AU,71.6,overcast clouds,-28.77,114.6,Broadwater Mariner Resort
267,Atuona,PF,78.91,few clouds,-9.8,-139.03,Villa Enata
269,Breves,BR,80.92,broken clouds,-1.68,-50.48,Hotel e Restaurante Grill
270,Vaini,TO,80.6,scattered clouds,-21.2,-175.2,Keleti Beach Resort
275,Avarua,CK,80.6,overcast clouds,-21.21,-159.78,Paradise Inn
279,Namibe,AO,70.97,broken clouds,-15.2,12.15,Hotel Chik Chik Namibe
280,Bambous Virieux,MU,80.01,shower rain,-20.34,57.76,Casa Tia Villa
283,Faanui,PF,80.94,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
287,Butaritari,KI,80.29,overcast clouds,3.07,172.79,Isles Sunset Lodge
288,East London,ZA,70.12,clear sky,-33.02,27.91,Tu Casa
294,Atuona,PF,78.91,few clouds,-9.8,-139.03,Villa Enata
295,Kapaa,US,73.4,light rain,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
296,Mexicali,MX,72.0,clear sky,32.65,-115.47,Hotel Araiza Mexicali
297,Kavaratti,IN,81.91,clear sky,10.57,72.64,Hotels in Lakshadweep Islands
298,Ambilobe,MG,75.27,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
299,Banda Aceh,ID,78.39,light rain,5.56,95.32,OYO 884 Rumoh PMI Hotel
303,Mitsamiouli,KM,82.54,light rain,-11.38,43.28,Foyer ADM
305,Hilo,US,80.6,broken clouds,19.73,-155.09,Hilo Hawaiian Hotel
